article_id,ticker,title,summary,published_at,news_date,mapped_transaction_date,next_day_return_percentage,volatility_level,groq_label
1445217,TNG,TNG: Báo cáo sở hữu của cổ đông lớn - Forum One - VinaCapital VietNam Fund,,2026-05-21 16:37:00.000,2026-05-21,2026-05-21,0.0,Low,Neutral
1431047,VGS,VGS: Nghị quyết Đại hội đồng cổ đông thường niên năm 2026,,2026-04-21 10:07:00.000,2026-04-21,2026-04-21,-0.4159733777038181,Low,Negative
1441690,KDH,KDH: Thông báo nhận được Văn bản của UBCKNN về việc tuân thủ quy định về chào bán trái phiếu doanh nghiệp riêng lẻ,,2026-05-12 17:25:15.000,2026-05-12,2026-05-12,-1.271186440677969,Low,Neutral
1432849,AGR,AGR: Nghị quyết HĐQT về việc ký hợp đồng tư vấn chào bán cổ phiếu riêng lẻ với ABIC,,2026-04-23 17:38:17.000,2026-04-23,2026-04-23,-0.34246575342465024,Low,Neutral
1441863,AMV,AMV: Thông báo về ngày đăng ký cuối cùng để thực hiện quyền tham dự Đại hội đồng cổ đông thường niên năm 2026,,2026-05-13 09:37:00.000,2026-05-13,2026-05-13,0.0,Low,Neutral
1442546,API,API: Báo cáo tài chính kiểm toán năm 2025 (hợp nhất),,2026-05-14 13:22:00.000,2026-05-14,2026-05-14,-3.174603174603177,Low,Negative
1433883,APS,APS: Tài liệu họp Đại hội đồng cổ đông thường niên năm 2026,,2026-04-24 19:30:00.000,2026-04-24,2026-04-24,0.0,Low,Neutral
1447518,MSB,Một cổ đông Nhà nước hoàn tất thoái vốn Ngân hàng MSB,"Trong ngày 26/05, Tổng Công ty Bảo đảm an toàn hàng hải Việt Nam (VMSC) thông báo đã hoàn tất bán ra toàn bộ cổ phần sở hữu tại Ngân hàng TMCP Hàng hải Việt Nam (HOSE: MSB).",2026-05-27 20:15:00.000,2026-05-27,2026-05-27,0.6666666666666643,High,Neutral
1429129,BMP,Nhựa Bình Minh chia cổ tức tiền mặt kỷ lục 148.6% cho năm 2025,"Sau năm kinh doanh bùng nổ, CTCP Nhựa Bình Minh (HOSE: BMP) quyết định trả cổ tức tiền mặt 2025 ở mức cao nhất lịch sử.",2026-04-17 14:36:29.440,2026-04-17,2026-04-17,3.8486254908960986,Low,Positive
1438020,BVH,Tập đoàn Bảo Việt chi hàng trăm tỷ gom cổ phiếu công nghệ,"Tập đoàn Bảo Việt (HOSE: BVH) đẩy mạnh giải ngân vào cổ phiếu FPT trong quý 1/2026, nâng quy mô đầu tư từ 125 tỷ đồng đầu năm lên hơn 442 tỷ đồng vào cuối kỳ. Tuy nhiên, khoản đầu tư này hiện đang tạm lỗ nhẹ khoảng 4.8 tỷ đồng trên sổ sách.",2026-05-05 17:41:00.000,2026-05-05,2026-05-05,-1.0115606936416226,Low,Negative
1375284,CAP,CAP: Báo cáo thường niên 2025,,2025-11-25 14:33:00.000,2025-11-25,2025-11-25,0.23828435266083214,Low,Positive
1433655,DPM,"DPM: Sửa đổi, bổ sung Điều lệ, Quy chế nội bộ về quản trị và Quy chế hoạt động của HĐQT",,2026-04-24 17:36:28.000,2026-04-24,2026-04-24,-3.0245746691871482,Low,Neutral
1427410,NHA,NHA: Hồ sơ ứng cử thành viên HĐQT độc lập,,2026-04-14 15:21:52.000,2026-04-14,2026-04-14,-0.36496350364962726,Low,Negative
1436793,HHV,HHV: BCTC Hợp nhất quý 1 năm 2026 ,,2026-04-29 00:00:00.000,2026-04-29,2026-04-29,1.5999999999999945,Low,Neutral
1449547,PDR,"40,000 sản phẩm dinh dưỡng Vinamilk tiếp sức chương trình “Tổ quốc bình yên”","Hưởng ứng các hoạt động trong Cuộc thi sáng tạo video clip “Tổ quốc bình yên” do Công an Thành phố Hà Nội tổ chức, Vinamilk đã hỗ trợ 40,000 sản phẩm dinh dưỡng gồm nước uống Vinamilk, sữa tươi Vinamilk 100%, sữa SUSU và sữa chua uống Green Farm dành cho cán bộ, chiến sĩ và người dân tham gia chương trình. Hoạt động góp phần lan tỏa những giá trị tích cực, khuyến khích sự chung tay của cộng đồng trong việc xây dựng môi trường sống an toàn, văn minh.",2026-06-02 13:12:04.427,2026-06-02,2026-06-02,0.32786885245902103,High,Positive
1436182,GVR,GVR: Thông báo thay đổi nhân sự,,2026-04-29 19:09:42.000,2026-04-29,2026-04-29,6.973293768545977,Low,Neutral
1428075,VRE,Thông điệp 2026 từ lãnh đạo “ông lớn” bất động sản: Tăng tốc hay phòng thủ?,"Sau một năm đầy biến động, thông điệp từ các “ông lớn” như Vingroup, Novaland, GELEX hay Nam Long cho thấy bức tranh bất động sản 2026 đang dần phân hóa rõ nét: có doanh nghiệp chọn tăng tốc, có đơn vị ưu tiên tái cấu trúc. Tựu trung, toàn ngành đang dịch chuyển sang một quỹ đạo mới, đề cao kỷ luật, củng cố nền tảng và theo đuổi giá trị bền vững, trong bối cảnh chu kỳ phát triển tiếp theo đòi hỏi tầm nhìn dài hạn và khả năng thích ứng cao hơn.",2026-04-16 09:02:00.000,2026-04-16,2026-04-16,-3.378378378378378,Low,Neutral
